name,hex,hue,lightness,saturation,family
dusky blue,#475f94,221.3,0.429,0.352,azure
lightblue,#7bc8f6,202.44,0.724,0.872,cyan
purply pink,#f075e6,304.88,0.7,0.804,magenta
off green,#6ba353,102.0,0.482,0.325,chartreuse
ocher,#bf9b0c,47.93,0.398,0.882,orange
milk chocolate,#7f4e1e,29.69,0.308,0.618,red
light peach,#ffd8b1,30.0,0.847,1.0,orange
deep magenta,#a0025c,325.82,0.318,0.975,magenta
caramel,#af6f09,36.87,0.361,0.902,orange
greenish teal,#32bf84,154.89,0.473,0.585,teal
pale lime,#befd73,87.39,0.722,0.972,yellow
purple red,#990147,332.37,0.302,0.987,rose
blueberry,#464196,243.53,0.422,0.395,blue
asparagus,#77ab56,96.71,0.504,0.336,chartreuse
pale grey,#fdfdfe,240.0,0.994,0.333,grey
light grey blue,#9dbcd4,206.18,0.724,0.39,cyan
pale lime green,#b1ff65,90.39,0.698,1.0,chartreuse
grassy green,#419c03,95.69,0.312,0.962,chartreuse
mossy green,#638b27,84.0,0.349,0.562,yellow
earth,#a2653e,23.4,0.439,0.446,red
deep orange,#dc4d01,20.82,0.433,0.991,red
pale aqua,#b8ffeb,163.1,0.861,1.0,teal
rose red,#be013c,341.27,0.375,0.99,rose
stone,#ada587,47.37,0.604,0.188,orange
rusty orange,#cd5909,24.49,0.42,0.916,red
pea,#a4bf20,70.19,0.437,0.713,yellow
sick green,#9db92c,71.91,0.449,0.616,yellow
darker pink,#c4387f,329.57,0.494,0.556,magenta
chestnut,#742802,20.0,0.231,0.966,red
blue/green,#0f9b8e,174.43,0.333,0.824,teal
amethyst,#9b5fc0,277.11,0.563,0.435,violet
dark mint green,#20c073,151.12,0.439,0.714,teal
pale rose,#fdc1c5,356.0,0.875,0.938,rose
muted blue,#3b719f,207.6,0.427,0.459,cyan
fawn,#cfaf7b,37.14,0.647,0.467,orange
buff,#fef69e,55.0,0.808,0.98,orange
turquoise green,#04f489,153.25,0.486,0.968,teal
muddy brown,#886806,45.23,0.278,0.915,orange
sea,#3c9992,175.48,0.418,0.437,teal
tomato,#ef4026,7.76,0.543,0.863,red
carnation pink,#ff7fa7,341.25,0.749,1.0,rose
banana,#ffff7e,60.0,0.747,1.0,yellow
neon yellow,#cfff04,71.47,0.508,1.0,yellow
greyish,#a8a495,47.37,0.622,0.098,grey
mid green,#50a747,114.38,0.467,0.403,chartreuse
muted purple,#805b87,290.45,0.443,0.195,violet
electric pink,#ff0490,326.53,0.508,1.0,magenta
sandy,#f1da7a,48.4,0.712,0.81,orange
ugly pink,#cd7584,349.77,0.631,0.468,rose
turquoise blue,#06b1c4,186.0,0.396,0.941,cyan
light burgundy,#a8415b,344.85,0.457,0.442,rose
greenish tan,#bccb7a,71.11,0.637,0.438,yellow
dark mint,#48c072,141.0,0.518,0.488,green
light urple,#b36ff6,270.22,0.7,0.882,violet
midnight purple,#280137,283.33,0.11,0.964,violet
pinkish orange,#ff724c,12.74,0.649,1.0,red
pear,#cbf85f,77.65,0.673,0.916,yellow
dark plum,#3f012c,318.39,0.125,0.969,magenta
tealish,#24bca8,172.11,0.439,0.679,teal
perrywinkle,#8f8ce7,241.98,0.727,0.655,blue
yellowish orange,#ffab0f,39.0,0.529,1.0,orange
pastel orange,#ff964f,24.2,0.655,1.0,red
iris,#6258c4,245.56,0.557,0.478,blue
ultramarine blue,#1805db,245.33,0.439,0.955,blue
navy green,#35530a,84.66,0.182,0.785,yellow
seaweed,#18d17b,152.11,0.457,0.794,teal
kiwi,#9cef43,88.95,0.6,0.843,yellow
fluro green,#0aff02,118.1,0.504,1.0,chartreuse
bright light green,#2dfe54,131.2,0.586,0.991,green
vivid green,#2fef10,111.66,0.5,0.875,chartreuse
frog green,#58bc08,93.33,0.384,0.918,chartreuse
dull brown,#876e4b,35.0,0.412,0.286,orange
dusk,#4e5481,232.94,0.406,0.246,azure
mustard brown,#ac7e04,43.57,0.345,0.955,orange
leafy green,#51b73b,109.35,0.475,0.512,chartreuse
cool blue,#4984b8,208.11,0.504,0.439,cyan
almost black,#070d0d,180.0,0.039,0.3,grey
yellow/green,#c8fd3d,76.56,0.616,0.98,yellow
heliotrope,#d94ff5,289.88,0.635,0.892,violet
green apple,#5edc1f,100.0,0.492,0.753,chartreuse
baby poop green,#8f9805,63.67,0.308,0.936,yellow
apple,#6ecb3c,99.02,0.516,0.579,chartreuse
purpleish pink,#df4ec8,309.52,0.59,0.694,magenta
night blue,#040348,240.87,0.147,0.92,blue
merlot,#730039,330.26,0.225,1.0,rose
lightgreen,#76ff7b,122.19,0.731,1.0,green
tomato red,#ec2d01,11.23,0.465,0.992,red
key lime,#aeff6e,93.52,0.716,1.0,chartreuse
pale cyan,#b7fffa,175.83,0.859,1.0,teal
vomit yellow,#c7c10c,58.07,0.414,0.886,orange
purplish brown,#6b4247,352.68,0.339,0.237,rose
bubblegum,#ff6cb5,330.2,0.712,1.0,rose
shamrock,#01b44c,145.14,0.355,0.989,green
mango,#ffa62b,34.81,0.584,1.0,orange
lime yellow,#d0fe1d,72.27,0.555,0.991,yellow
hot green,#25ff29,121.1,0.573,1.0,green
grape purple,#5d1451,309.86,0.222,0.646,magenta
faded orange,#f0944d,26.13,0.622,0.845,red
avocado green,#87a922,75.11,0.398,0.665,yellow
peacock blue,#016795,198.65,0.294,0.987,cyan
weird green,#3ae57f,144.21,0.563,0.767,green
bright lilac,#c95efb,280.89,0.676,0.952,violet
fern green,#548d44,106.85,0.41,0.349,chartreuse
dirty blue,#3f829d,197.23,0.431,0.427,cyan
rust orange,#c45508,24.57,0.4,0.922,red
heather,#a484ac,288.0,0.596,0.194,violet
deep teal,#00555a,183.33,0.176,1.0,cyan
dark seafoam,#1fb57a,156.4,0.416,0.708,teal
baby poo,#ab9004,50.3,0.343,0.954,orange
yellowgreen,#bbf90f,75.9,0.518,0.951,yellow
light sage,#bcecac,105.0,0.8,0.627,chartreuse
light aquamarine,#7bfdc7,155.08,0.737,0.97,teal
spearmint,#1ef876,144.22,0.545,0.94,green
bright lime,#87fd05,88.55,0.506,0.984,yellow
vibrant green,#0add08,119.44,0.449,0.93,chartreuse
very pale green,#cffdbc,102.46,0.865,0.942,chartreuse
faded yellow,#feff7f,60.47,0.749,1.0,yellow
bile,#b5c306,64.44,0.394,0.94,yellow
viridian,#1e9167,158.09,0.343,0.657,teal
very light pink,#fff4f2,9.23,0.975,1.0,grey
puke brown,#947706,47.75,0.302,0.922,orange
medium pink,#f36196,338.22,0.667,0.859,rose
ugly purple,#a442a0,302.45,0.451,0.426,magenta
sunshine yellow,#fffd37,59.4,0.608,1.0,orange
seaweed green,#35ad6b,147.0,0.443,0.531,green
light periwinkle,#c1c6fc,234.92,0.873,0.908,azure
lemon green,#adf802,78.29,0.49,0.984,yellow
greeny brown,#696006,54.55,0.218,0.892,orange
dark grey blue,#29465b,205.2,0.259,0.379,cyan
bright olive,#9cbb04,70.16,0.375,0.958,yellow
turtle green,#75b84f,98.29,0.516,0.425,chartreuse
pale sky blue,#bdf6fe,187.38,0.869,0.97,cyan
light mustard,#f7d560,46.49,0.673,0.904,orange
diarrhea,#9f8303,49.23,0.318,0.963,orange
dark aquamarine,#017371,178.95,0.227,0.983,teal
brownish pink,#c27e79,4.11,0.618,0.374,red
baby shit green,#889717,67.03,0.341,0.736,yellow
purpley,#8756e4,260.7,0.616,0.724,blue
greyblue,#77a1b5,199.35,0.588,0.295,cyan
hot magenta,#f504c9,310.95,0.488,0.968,magenta
blue/grey,#758da3,208.7,0.549,0.2,cyan
pale,#fff9d0,52.34,0.908,1.0,orange
cool green,#33b864,142.11,0.461,0.566,green
sandy yellow,#fdee73,53.48,0.722,0.972,orange
eggshell blue,#c4fff7,171.86,0.884,1.0,teal
barf green,#94ac02,68.47,0.341,0.977,yellow
baby green,#8cff9e,129.39,0.775,1.0,green
vibrant purple,#ad03de,286.58,0.441,0.973,violet
brown grey,#8d8468,45.41,0.48,0.151,orange
water blue,#0e87cc,201.79,0.427,0.872,cyan
lipstick red,#c0022f,345.79,0.38,0.979,rose
banana yellow,#fafe4b,61.34,0.645,0.989,yellow
wisteria,#a87dc2,277.39,0.625,0.361,violet
purple brown,#673a3f,353.33,0.316,0.28,rose
brown yellow,#b29705,50.64,0.359,0.945,orange
purple/pink,#d725de,297.73,0.508,0.737,violet
lemon lime,#bffe28,77.66,0.576,0.991,yellow
grey/blue,#647d8e,204.29,0.475,0.174,cyan
dusty red,#b9484e,356.81,0.504,0.447,rose
deep rose,#c74767,345.0,0.529,0.533,rose
dark seafoam green,#3eaf76,149.73,0.465,0.477,green
muddy yellow,#bfac05,53.87,0.384,0.949,orange
carnation,#fd798f,350.0,0.733,0.971,rose
yellowy brown,#ae8b0c,47.04,0.365,0.871,orange
violet red,#a50055,329.09,0.324,1.0,magenta
twilight blue,#0a437a,209.46,0.259,0.848,cyan
pure blue,#0203e2,239.73,0.447,0.982,azure
lightish red,#fe2f4a,352.17,0.59,0.99,rose
brick orange,#c14a09,21.2,0.396,0.911,red
velvet,#750851,319.82,0.245,0.872,magenta
sunflower,#ffc512,45.32,0.535,1.0,orange
light mint green,#a6fbb2,128.47,0.818,0.914,green
light grass green,#9af764,97.96,0.68,0.902,chartreuse
lavender blue,#8b88f8,241.61,0.753,0.889,blue
rusty red,#af2f0d,12.59,0.369,0.862,red
lightish purple,#a552e6,273.65,0.612,0.747,violet
dried blood,#4b0101,0.0,0.149,0.974,red
light blue grey,#b7c9e2,214.88,0.802,0.426,azure
leaf,#71aa34,88.98,0.435,0.532,yellow
orangish,#fc824a,18.88,0.639,0.967,red
pale olive green,#b1d27b,82.76,0.653,0.492,yellow
off yellow,#f1f33f,60.67,0.6,0.882,yellow
dusty orange,#f0833a,24.07,0.584,0.858,red
butter,#ffff81,60.0,0.753,1.0,yellow
royal,#0c1793,235.11,0.312,0.849,azure
petrol,#005f6a,186.23,0.208,1.0,cyan
greenish cyan,#2afeb7,159.91,0.58,0.991,teal
duck egg blue,#c3fbf4,172.5,0.875,0.875,teal
bubble gum pink,#ff69af,332.0,0.706,1.0,rose
bluegrey,#85a3b2,200.0,0.61,0.226,cyan
warm brown,#964e02,30.81,0.298,0.974,orange
twilight,#4e518b,237.05,0.425,0.281,azure
saffron,#feb209,41.39,0.516,0.992,orange
purple/blue,#5d21d0,260.57,0.473,0.726,blue
dark sand,#a88f59,41.01,0.504,0.312,orange
vibrant blue,#0339f8,226.78,0.492,0.976,azure
putty,#beae8a,41.54,0.643,0.286,orange
lawn green,#4da409,93.68,0.339,0.896,chartreuse
camouflage green,#4b6113,76.92,0.227,0.672,yellow
blush pink,#fe828c,355.16,0.753,0.984,rose
reddy brown,#6e1005,6.29,0.225,0.913,red
darkish red,#a90308,358.19,0.337,0.965,rose
algae green,#21c36f,148.89,0.447,0.711,green
dark coral,#cf524e,1.86,0.559,0.573,red
bright cyan,#41fdfe,180.32,0.625,0.99,cyan
piss yellow,#ddd618,57.87,0.48,0.804,orange
pastel red,#db5856,0.9,0.598,0.649,red
greenish turquoise,#00fbb0,162.07,0.492,1.0,teal
dark,#1b2431,215.45,0.149,0.289,azure
ruby,#ca0147,339.1,0.398,0.99,rose
poop green,#6f7c00,66.29,0.243,1.0,yellow
orangered,#fe420f,12.8,0.527,0.992,red
dandelion,#fedf08,52.44,0.514,0.992,orange
claret,#680018,346.15,0.204,1.0,rose
pale mauve,#fed0fc,302.61,0.906,0.958,magenta
lipstick,#d5174e,342.63,0.463,0.805,rose
rosa,#fe86a4,345.0,0.761,0.984,rose
darkblue,#030764,237.53,0.202,0.942,azure
tan brown,#ab7e4c,31.58,0.484,0.385,orange
shit green,#758000,65.16,0.251,1.0,yellow
red wine,#8c0034,337.71,0.275,1.0,rose
pinky,#fc86aa,341.69,0.757,0.952,rose
mud green,#606602,63.6,0.204,0.962,yellow
light greenish blue,#63f7b4,152.84,0.678,0.902,teal
dull teal,#5f9e8f,165.71,0.496,0.249,teal
deep lavender,#8d5eb7,271.69,0.543,0.382,violet
vivid blue,#152eff,233.59,0.541,1.0,azure
raw umber,#a75e09,32.28,0.345,0.898,orange
light mint,#b6ffbb,124.11,0.857,1.0,green
light light blue,#cafffb,175.47,0.896,1.0,teal
highlighter green,#1bfc06,114.88,0.506,0.976,chartreuse
greeny grey,#7ea07a,113.68,0.553,0.167,chartreuse
bluey grey,#89a0b0,204.62,0.614,0.198,cyan
algae,#54ac68,133.64,0.502,0.346,green
sap green,#5c8b15,83.9,0.314,0.737,yellow
pale salmon,#ffb19a,13.66,0.802,1.0,red
metallic blue,#4f738e,205.71,0.433,0.285,cyan
ice,#d6fffa,172.68,0.92,1.0,teal
gross green,#a0bf16,71.01,0.418,0.793,yellow
dodger blue,#3e82fc,218.53,0.616,0.969,azure
warm pink,#fb5581,344.1,0.659,0.954,rose
light green blue,#56fca2,147.47,0.663,0.965,green
flat green,#699d4c,98.52,0.457,0.348,chartreuse
dark blue grey,#1f3b4d,203.48,0.212,0.426,cyan
clay brown,#b2713d,26.67,0.469,0.49,red
sand yellow,#fce166,49.2,0.694,0.962,orange
grapefruit,#fd5956,1.08,0.665,0.977,red
blood orange,#fe4b03,17.21,0.504,0.992,red
very pale blue,#d6fffe,178.54,0.92,1.0,teal
old pink,#c77986,350.0,0.627,0.411,rose
neon red,#ff073a,347.66,0.514,1.0,rose
golden rod,#f9bc08,44.81,0.504,0.953,orange
plum purple,#4e0550,298.4,0.167,0.882,violet
pale peach,#ffe5ad,40.98,0.839,1.0,orange
green again,#16d43f,132.95,0.459,0.812,green
dark yellow green,#728f02,72.34,0.284,0.972,yellow
carmine,#9d0216,352.26,0.312,0.975,rose
deep sea blue,#015482,201.4,0.257,0.985,cyan
dark hot pink,#d90166,331.94,0.427,0.991,rose
warm blue,#4b57db,235.0,0.576,0.667,azure
light khaki,#e6f2a2,69.0,0.792,0.755,yellow
icky green,#8fae22,73.29,0.408,0.673,yellow
greenblue,#23c48b,158.76,0.453,0.697,teal
dirty purple,#734a65,320.49,0.371,0.217,magenta
rich blue,#021bf9,233.93,0.492,0.984,azure
mushroom,#ba9e88,26.4,0.631,0.266,red
flat blue,#3c73a8,209.44,0.447,0.474,cyan
dark slate blue,#214761,204.38,0.255,0.492,cyan
dark sage,#598556,116.17,0.429,0.215,chartreuse
coral pink,#ff6163,359.24,0.69,1.0,rose
true green,#089404,118.33,0.298,0.947,chartreuse
darkish purple,#751973,301.3,0.278,0.648,magenta
dark taupe,#7f684e,31.84,0.402,0.239,orange
cool grey,#95a3a6,190.59,0.618,0.087,grey
canary,#fdff63,60.77,0.694,1.0,yellow
booger green,#96b403,70.17,0.359,0.967,yellow
muted pink,#d1768f,343.52,0.641,0.497,rose
hazel,#8e7618,47.8,0.325,0.711,orange
dark royal blue,#02066f,237.8,0.222,0.965,azure
vivid purple,#9900fa,276.72,0.49,1.0,violet
racing green,#014600,119.14,0.137,1.0,chartreuse
leather,#ac7434,32.0,0.439,0.536,orange
green/blue,#01c08d,163.98,0.378,0.99,teal
sunflower yellow,#ffda03,51.19,0.506,1.0,orange
rich purple,#720058,313.68,0.224,1.0,magenta
pale magenta,#d767ad,322.5,0.624,0.583,magenta
light yellowish green,#c2ff89,91.02,0.769,1.0,chartreuse
indigo blue,#3a18b1,253.33,0.394,0.761,blue
dark fuchsia,#9d0759,327.2,0.322,0.915,magenta
yellow tan,#ffe36e,48.41,0.716,1.0,orange
wintergreen,#20f986,148.2,0.551,0.948,green
violet pink,#fb5ffc,299.62,0.68,0.963,violet
topaz,#13bbaf,175.71,0.404,0.816,teal
seafoam blue,#78d1b6,161.8,0.645,0.492,teal
light gold,#fddc5c,47.7,0.676,0.976,orange
grey/green,#86a17d,105.0,0.561,0.161,chartreuse
foam green,#90fda9,133.76,0.778,0.965,green
creme,#ffffb6,60.0,0.857,1.0,yellow
clear blue,#247afd,216.22,0.567,0.982,azure
ugly blue,#31668a,204.27,0.367,0.476,cyan
terracota,#cb6843,16.32,0.529,0.567,red
very dark brown,#1d0200,4.14,0.057,1.0,grey
straw,#fcf679,57.25,0.731,0.956,orange
parchment,#fefcaf,58.48,0.841,0.975,orange
orangey yellow,#fdb915,42.41,0.537,0.983,orange
greyish teal,#719f91,161.74,0.533,0.193,teal
sapphire,#2138ab,230.0,0.4,0.676,azure
nice blue,#107ab0,200.25,0.376,0.833,cyan
browny orange,#ca6b02,31.5,0.4,0.98,orange
washed out green,#bcf5a6,103.29,0.806,0.798,chartreuse
tiffany blue,#7bf2da,167.9,0.716,0.821,teal
light seafoam,#a0febf,139.79,0.812,0.979,green
light neon green,#4efd54,122.06,0.649,0.978,green
light bright green,#53fe5c,123.16,0.661,0.988,green
light bluish green,#76fda8,142.22,0.727,0.971,green
rosy pink,#f6688e,343.94,0.686,0.888,rose
peachy pink,#ff9a8a,8.21,0.771,1.0,red
pale light green,#b1fc99,105.45,0.794,0.943,chartreuse
old rose,#c87f89,351.78,0.641,0.399,rose
fern,#63a950,107.19,0.488,0.357,chartreuse
dusk blue,#26538d,213.79,0.351,0.575,azure
camo,#7f8f4e,74.77,0.433,0.294,yellow
burnt siena,#b75203,26.33,0.365,0.968,red
tealish green,#0cdc73,149.71,0.455,0.897,green
swamp,#698339,81.08,0.369,0.394,yellow
sand brown,#cba560,38.69,0.586,0.507,orange
rust brown,#8b3103,20.29,0.278,0.958,red
orangeish,#fd8d49,22.67,0.639,0.978,red
light royal blue,#3a2efe,243.46,0.588,0.99,blue
cocoa,#875f42,25.22,0.394,0.343,red
baby purple,#ca9bf7,270.65,0.788,0.852,violet
raw sienna,#9a6200,38.18,0.302,1.0,orange
radioactive green,#2cfa1f,116.44,0.551,0.956,chartreuse
light pea green,#c4fe82,88.06,0.753,0.984,yellow
cinnamon,#ac4f06,26.39,0.349,0.933,red
squash,#f2ab15,40.72,0.516,0.895,orange
charcoal grey,#3c4142,190.0,0.247,0.048,grey
bright yellow green,#9dff00,83.06,0.5,1.0,yellow
baby puke green,#b6c406,64.42,0.396,0.941,yellow
poison green,#40fd14,108.67,0.535,0.983,chartreuse
light lavendar,#efc0fe,285.48,0.875,0.969,violet
indian red,#850e04,4.65,0.269,0.942,red
dark cream,#fff39a,52.87,0.802,1.0,orange
toupe,#c7ac7d,38.11,0.635,0.398,orange
butterscotch,#fdb147,34.95,0.635,0.978,orange
burple,#6832e3,258.31,0.543,0.76,blue
tan green,#a9be70,76.15,0.592,0.375,yellow
sun yellow,#ffdf22,51.31,0.567,1.0,orange
pale gold,#fdde6c,47.17,0.708,0.973,orange
light light green,#c8ffb0,101.77,0.845,1.0,chartreuse
lichen,#8fb67b,99.66,0.598,0.288,chartreuse
green/yellow,#b5ce08,67.58,0.42,0.925,yellow
darkgreen,#054907,121.76,0.153,0.872,green
azul,#1d5dec,221.45,0.52,0.845,azure
sunny yellow,#fff917,58.45,0.545,1.0,orange
sickly yellow,#d0e429,66.42,0.527,0.776,yellow
kelley green,#009337,142.45,0.288,1.0,green
bruise,#7e4071,312.58,0.373,0.326,magenta
browny green,#6f6c0a,58.22,0.237,0.835,orange
battleship grey,#6b7c85,200.77,0.471,0.108,grey
off blue,#5684ae,208.64,0.51,0.352,cyan
manilla,#fffa86,57.52,0.763,1.0,orange
greenish beige,#c9d179,65.45,0.647,0.489,yellow
deep brown,#410200,1.85,0.127,1.0,red
darkish pink,#da467d,337.7,0.565,0.667,rose
custard,#fffd78,59.11,0.735,1.0,orange
ugly brown,#7d7103,54.1,0.251,0.953,orange
stormy blue,#507b9c,206.05,0.463,0.322,cyan
liliac,#c48efd,269.19,0.775,0.965,blue
baby shit brown,#ad900d,49.12,0.365,0.86,orange
reddish grey,#997570,7.32,0.52,0.167,red
powder pink,#ffb2d0,336.62,0.849,1.0,rose
eggplant purple,#430541,301.94,0.141,0.861,magenta
egg shell,#fffcc4,56.95,0.884,1.0,orange
very light brown,#d3b683,38.25,0.671,0.476,orange
tea green,#bdf8a3,101.65,0.806,0.859,chartreuse
orange pink,#ff6f52,10.06,0.661,1.0,red
light grey green,#b7e1a1,99.38,0.757,0.516,chartreuse
kiwi green,#8ee53f,91.45,0.573,0.761,chartreuse
boring green,#63b365,121.5,0.545,0.345,green
light pastel green,#b2fba5,110.93,0.816,0.915,chartreuse
candy pink,#ff63e9,308.46,0.694,1.0,magenta
purply,#983fb2,286.43,0.473,0.477,violet
purpley grey,#947e94,300.0,0.537,0.093,grey
dusty lavender,#ac86a8,306.32,0.6,0.186,magenta
desert,#ccad60,42.78,0.588,0.514,orange
deep lilac,#966ebd,270.38,0.586,0.374,violet
pig pink,#e78ea5,344.49,0.731,0.65,rose
olive yellow,#c2b709,56.43,0.398,0.911,orange
light seafoam green,#a7ffb5,129.55,0.827,1.0,green
light moss green,#a6c875,84.58,0.622,0.43,yellow
lavender pink,#dd85d7,304.09,0.694,0.564,magenta
deep aqua,#08787f,183.53,0.265,0.881,cyan
bland,#afa88b,48.33,0.616,0.184,orange
strong pink,#ff0789,328.55,0.514,1.0,magenta
green teal,#0cb577,157.99,0.378,0.876,teal
deep turquoise,#017374,180.52,0.229,0.983,cyan
dark green blue,#1f6357,169.41,0.255,0.523,teal
bright sea green,#05ffa6,158.64,0.51,1.0,teal
booger,#9bb53c,72.89,0.473,0.502,yellow
blue with a hint of purple,#533cc6,250.0,0.506,0.548,blue
blue blue,#2242c7,228.36,0.457,0.708,azure
windows blue,#3778bf,211.32,0.482,0.553,azure
toxic green,#61de2a,101.67,0.518,0.732,chartreuse
strong blue,#0c06f7,241.49,0.496,0.953,blue
spruce,#0a5f38,152.47,0.206,0.81,teal
pinkish tan,#d99b82,17.24,0.68,0.534,red
macaroni and cheese,#efb435,40.97,0.573,0.853,orange
grey teal,#5e9b8a,163.28,0.488,0.245,teal
dusty teal,#4c9085,170.29,0.431,0.309,teal
dark grass green,#388004,94.84,0.259,0.939,chartreuse
cement,#a5a391,54.0,0.608,0.1,grey
yellowish tan,#fcfc81,60.0,0.747,0.953,yellow
warm purple,#952e8f,303.5,0.382,0.528,magenta
tea,#65ab7c,139.71,0.533,0.294,green
really light blue,#d4ffff,180.0,0.916,1.0,cyan
nasty green,#70b23f,94.43,0.473,0.477,chartreuse
light eggplant,#894585,303.53,0.404,0.33,magenta
fresh green,#69d84f,108.61,0.578,0.637,chartreuse
electric lime,#a8ff04,80.8,0.508,1.0,yellow
dust,#b2996e,37.94,0.565,0.306,orange
dark pastel green,#56ae57,120.68,0.51,0.352,green
cloudy blue,#acc2d9,210.67,0.763,0.372,azure
