name,hex,hue,lightness,saturation,family
cream,#ffffc2,60.0,0.88,1.0,yellow
coral,#fc5a50,3.49,0.651,0.966,red
ocean blue,#03719c,196.86,0.312,0.962,cyan
greenish,#40a368,144.24,0.445,0.436,green
dark magenta,#960056,325.6,0.294,1.0,magenta
red orange,#fd3c06,13.12,0.508,0.984,red
bluish purple,#703be7,258.49,0.569,0.782,blue
midnight blue,#020035,242.26,0.104,1.0,blue
light violet,#d6b4fc,268.33,0.847,0.923,blue
dusty rose,#c0737a,354.55,0.602,0.379,rose
medium blue,#2c6fbb,211.89,0.453,0.619,azure
greenish yellow,#cdfd02,71.47,0.5,0.984,yellow
yellowish green,#b0dd16,73.57,0.476,0.819,yellow
purplish blue,#601ef9,258.08,0.547,0.948,blue
greyish blue,#5e819d,206.67,0.492,0.251,cyan
grape,#6c3461,311.79,0.314,0.35,magenta
light olive,#acbf69,73.26,0.58,0.402,yellow
cornflower blue,#5170d7,226.12,0.58,0.626,azure
pinkish red,#f10c45,345.07,0.496,0.905,rose
bright red,#ff000d,356.94,0.5,1.0,rose
azure,#069af3,202.53,0.488,0.952,cyan
blue purple,#5729ce,256.73,0.484,0.668,blue
dark turquoise,#045c5a,178.64,0.188,0.917,teal
electric blue,#0652ff,221.69,0.512,1.0,azure
off white,#ffffe4,60.0,0.947,1.0,yellow
powder blue,#b1d1fc,214.4,0.841,0.926,azure
wine,#80013f,330.71,0.253,0.984,rose
dull green,#74a662,104.12,0.518,0.276,chartreuse
apple green,#76cd26,91.26,0.476,0.687,chartreuse
light turquoise,#7ef4cc,159.66,0.725,0.843,teal
neon purple,#bc13fe,283.15,0.535,0.992,violet
cobalt,#1e488f,217.7,0.339,0.653,azure
pinkish,#d46a7e,348.68,0.624,0.552,rose
olive drab,#6f7632,66.18,0.329,0.405,yellow
dark cyan,#0a888a,180.94,0.29,0.865,cyan
purple blue,#632de9,257.23,0.545,0.81,blue
dark violet,#34013f,289.35,0.125,0.969,violet
dark lavender,#856798,276.73,0.5,0.192,violet
forrest green,#154406,105.48,0.145,0.838,chartreuse
vomit,#a2a415,60.84,0.363,0.773,yellow
pale orange,#ffa756,28.76,0.669,1.0,red
greenish blue,#0b8b87,178.12,0.294,0.853,teal
dark tan,#af884a,36.83,0.488,0.406,orange
green blue,#06b48b,165.86,0.365,0.935,teal
bluish green,#10a674,160.0,0.357,0.824,teal
pastel blue,#a2bffe,221.09,0.816,0.979,azure
moss,#769958,92.31,0.473,0.27,chartreuse
grass,#5cac2d,97.8,0.425,0.585,chartreuse
deep pink,#cb0162,331.19,0.4,0.99,rose
blood red,#980002,359.21,0.298,1.0,rose
sage green,#88b378,103.73,0.586,0.28,chartreuse
aqua blue,#02d8e9,184.42,0.461,0.983,cyan
terracotta,#ca6641,16.2,0.524,0.564,red
pastel purple,#caa0ff,266.53,0.814,1.0,blue
sienna,#a9561e,24.17,0.39,0.698,red
dark olive,#373e02,67.0,0.125,0.938,yellow
green yellow,#c9ff27,75.0,0.576,1.0,yellow
scarlet,#be0119,352.38,0.375,0.99,rose
greyish green,#82a67d,112.68,0.571,0.187,chartreuse
chocolate,#3d1c02,26.44,0.124,0.937,red
blue violet,#5d06e9,263.0,0.469,0.95,blue
cornflower,#6a79f7,233.62,0.692,0.898,azure
baby pink,#ffb7ce,340.83,0.859,1.0,rose
charcoal,#343837,165.0,0.212,0.037,grey
pine green,#0a481e,139.35,0.161,0.756,green
pumpkin,#e17701,31.61,0.443,0.991,orange
greenish brown,#696112,54.48,0.241,0.707,orange
red brown,#8b2e16,12.31,0.316,0.727,red
brownish green,#6a6e09,62.38,0.233,0.849,yellow
tangerine,#ff9408,34.01,0.516,1.0,orange
salmon pink,#fe7b7c,359.54,0.739,0.985,rose
aqua green,#12e193,157.39,0.476,0.852,teal
raspberry,#b00149,335.31,0.347,0.989,rose
greyish purple,#887191,283.12,0.506,0.127,violet
rose pink,#f7879a,349.82,0.749,0.875,rose
neon pink,#fe019a,323.72,0.5,0.992,magenta
cobalt blue,#030aa7,237.44,0.333,0.965,azure
orange brown,#be6400,31.58,0.373,1.0,orange
deep red,#9a0200,0.78,0.302,1.0,red
orange red,#fd411e,9.42,0.555,0.982,red
dirty yellow,#cdc50a,57.54,0.422,0.907,orange
orchid,#c875c4,302.89,0.622,0.43,magenta
reddish pink,#fe2c54,348.57,0.584,0.991,rose
reddish purple,#910951,328.24,0.302,0.883,magenta
yellow orange,#fcb001,41.83,0.496,0.992,orange
light cyan,#acfffc,177.83,0.837,1.0,teal
sky,#82cafc,204.59,0.749,0.953,cyan
light magenta,#fa5ff7,301.16,0.676,0.939,magenta
pale red,#d9544d,3.0,0.576,0.648,red
emerald,#01a049,147.17,0.316,0.988,green
